id,employment,age
5067,8688,40.5
5069,43644,37.4
5071,11948,37.2
5073,2788,43.3
5075,7862,40.9
5077,3849,39.8
5079,4641,38
5081,6420,41.2
5083,9221,41.4
5085,19500,35.3
5087,6530,40.9
5089,6777,50.1
5091,19598,37.2
5093,23827,34.9
5095,4079,44.2
5097,3790,46.8
5099,3823,41.6
5101,2893,46
5103,10328,42.1
5105,2952,41.6
5107,9693,36.9
5109,4298,40.2
5111,9922,39.8
5113,10038,43.1
5115,33016,35.1
5117,3392,44.5
5119,303194,36
5121,8236,41.9
5123,11789,37.2
5125,26585,38.8
5127,4977,39.8
5129,3777,46.8
5131,88009,36.7
5133,7737,33.7
5135,5880,47
5137,5379,47.7
5139,26475,40.1
5141,6257,46.6
5143,111755,30.7
5145,34738,36
5147,3271,43.3
5149,10010,37.8
6000,19796639,35.2
6001,870971,36.6
6003,1123,46.7
6005,18698,48.2
6007,103975,37.2
6009,16976,49.2
6011,10700,33.5
6013,484928,38.5
6015,11025,39.1
6017,88255,43.6
6019,424998,30.6
6021,11981,35.3
6023,71189,37.1
6025,65211,31.9
6027,10577,45.6
6029,328982,30.7
6031,57507,31.1
6033,23235,45
6035,14214,37.1
6037,5461150,34.8
6039,57155,33
6041,177754,44.5
6043,7912,49.2
6045,50487,41.5
6047,89609,29.6
6049,4645,46.1
6051,9989,37.2
6053,229358,32.9
6055,88077,39.7
6057,54834,47.6
6059,1919695,36.2
6061,180450,40.3
6063,11285,49.6
6065,783857,33.7
6067,767531,34.8
6069,23137,34.3
6071,800935,31.7
6073,1814708,34.6
6075,680663,38.5
6077,280759,32.7
6079,146950,39.4
6081,447888,39.3
6083,255175,33.6
6085,1081736,36.2
6087,141442,36.9
6089,91201,41.8
6091,1311,50.9
6093,22176,47
6095,171572,36.9
6097,272701,39.9
6099,217599,32.9
6101,41696,34.5
6103,24313,39.5
6105,4959,49.3
6107,178952,29.6
6109,26616,47.3
6111,420279,36.2
6113,114738,30.4
6115,26800,32.1
8000,2990492,36.1
8001,196900,32.4
8003,10497,32.9
8005,394495,35.7
8007,7108,48.4
8009,2812,47.4
8011,2247,39.8
8013,219168,35.8
8014,35499,36.4
8015,10158,47.4
8017,1639,42.7
8019,6676,46.6
8021,3168,38.2
8023,1427,49
8025,1814,38.9
8027,2223,53.3
8029,14575,45.6
8031,528192,33.7
8033,998,44.7
8035,104905,36.6
8037,39423,34
8039,8403,43.8
8041,345369,34.1
8043,19407,43.6
8045,32025,34.5
8047,5962,45.6
8049,10517,41.2
8051,11949,34.3
8053,634,47.1
8055,3602,51.8
8057,1187,47.3
8059,261677,40.4
8061,1286,47.4
8063,5035,39.7
8065,3029,35
8067,34640,38.4
8069,179052,35.5
8071,8410,43.9
8073,3484,40.9
8075,12617,38.4
8077,77353,38.1
8079,809,53.1
8081,7393,35.8
8083,14033,42.9
8085,22456,42
8087,15662,36
8089,10202,40.9
8091,2848,50
8093,5859,46.9
8095,2851,42.8
8097,21804,42
8099,7851,36.7
8101,71757,38.7
8103,4344,38
8105,7951,41
8107,20206,38.9
8109,2765,43.3
